sec,luminance,rms_contrast,motion,edges,cuts,saturation
0,0.00429,0.00351,0.00023,0.00267,0.00000,0.00000
1,0.00680,0.02769,0.00031,0.02104,0.00000,0.00000
2,0.00720,0.03146,0.00000,0.02390,0.00000,0.00000
3,0.01976,0.03270,0.00928,0.02719,0.00000,0.01241
4,0.11588,0.06761,0.01376,0.04513,0.00000,0.09085
5,0.11517,0.06792,0.00561,0.04432,0.00000,0.11194
6,0.11673,0.07025,0.00622,0.05010,0.00000,0.12768
7,0.10085,0.06111,0.00512,0.05588,0.00000,0.11975
8,0.09088,0.05463,0.00483,0.05819,0.00000,0.13048
9,0.08150,0.04966,0.00510,0.05617,0.00000,0.16821
10,0.08048,0.04988,0.00575,0.05264,0.00000,0.17951
11,0.08009,0.05137,0.00604,0.04797,0.00000,0.18699
12,0.07653,0.05132,0.00488,0.03785,0.00000,0.19671
13,0.07036,0.05172,0.00440,0.03407,0.00000,0.22510
14,0.06066,0.04881,0.00408,0.03287,0.00000,0.28557
15,0.04997,0.04176,0.00370,0.02909,0.00000,0.35185
16,0.04266,0.03352,0.00332,0.02470,0.00000,0.38364
17,0.03847,0.03017,0.00341,0.02166,0.00000,0.41347
18,0.03432,0.02850,0.00302,0.01972,0.00000,0.46413
19,0.03032,0.02517,0.00238,0.01774,0.00000,0.50840
20,0.02536,0.01806,0.00149,0.01408,0.00000,0.55485
21,0.02332,0.01367,0.00075,0.01042,0.00000,0.57425
22,0.02515,0.01808,0.00258,0.01969,0.00000,0.56727
23,0.02949,0.02581,0.00490,0.03329,0.00000,0.54341
24,0.03871,0.03985,0.00795,0.05077,0.00000,0.48889
25,0.04398,0.04375,0.00928,0.06349,0.00000,0.45141
26,0.06091,0.05541,0.01215,0.08602,0.00000,0.34371
27,0.10056,0.08373,0.01389,0.13291,0.00000,0.20097
28,0.15334,0.11858,0.01125,0.18428,0.00000,0.12550
29,0.20255,0.16036,0.01211,0.22663,0.00000,0.12845
30,0.20035,0.15317,0.00714,0.22597,0.00000,0.12473
31,0.13038,0.11853,0.02276,0.17515,0.00000,0.34099
32,0.11706,0.11100,0.00883,0.16324,0.00000,0.38083
33,0.11676,0.10947,0.01523,0.16502,0.00000,0.38092
34,0.11453,0.10740,0.02943,0.16086,0.00000,0.38096
35,0.10873,0.09656,0.03326,0.15620,0.00000,0.37218
36,0.10611,0.08490,0.03428,0.15957,0.00000,0.36687
37,0.09583,0.07288,0.02865,0.14351,0.00000,0.35949
38,0.09627,0.08168,0.02790,0.14814,0.00000,0.35170
39,0.10758,0.10148,0.03161,0.18008,0.00000,0.34523
40,0.11892,0.11584,0.03526,0.22652,0.00000,0.34280
41,0.13675,0.13644,0.03532,0.26502,0.00000,0.33589
42,0.15312,0.15437,0.02802,0.28864,0.00000,0.33019
43,0.16033,0.16193,0.00814,0.29773,0.00000,0.32662
44,0.14921,0.14075,0.02783,0.24115,0.00000,0.35187
45,0.14447,0.13727,0.01312,0.23322,0.00000,0.35378
46,0.14912,0.14172,0.01480,0.23804,0.00000,0.35291
47,0.14872,0.14102,0.00922,0.22849,0.00000,0.35551
48,0.15019,0.14262,0.01179,0.22459,0.00000,0.35142
49,0.14923,0.14248,0.00981,0.22061,0.00000,0.34857
50,0.14821,0.14158,0.00737,0.22180,0.00000,0.35257
51,0.14785,0.14111,0.00478,0.22218,0.00000,0.35443
52,0.14780,0.14115,0.00756,0.22040,0.00000,0.35099
53,0.14538,0.13889,0.00418,0.21479,0.00000,0.34789
54,0.14522,0.13893,0.00198,0.21421,0.00000,0.34859
55,0.14422,0.13756,0.00317,0.21351,0.00000,0.34983
56,0.14655,0.14066,0.00575,0.22290,0.00000,0.34899
57,0.19443,0.18146,0.02957,0.36428,0.00000,0.31436
58,0.19637,0.18361,0.00972,0.36472,0.00000,0.31282
59,0.16185,0.16567,0.03100,0.30931,0.00000,0.33957
60,0.15989,0.17282,0.04911,0.27607,0.00000,0.32046
61,0.17791,0.21158,0.04240,0.26208,0.00000,0.26630
62,0.17961,0.22022,0.01711,0.27298,0.00000,0.25365
63,0.22678,0.21653,0.04951,0.19971,0.00000,0.25064
64,0.38548,0.27900,0.04734,0.14945,0.00000,0.14583
65,0.49712,0.32933,0.01927,0.15830,0.00000,0.08714
66,0.45232,0.31106,0.04433,0.17558,0.00000,0.10032
67,0.43371,0.30302,0.05265,0.18329,0.00000,0.10629
68,0.22119,0.22543,0.07027,0.25607,0.00000,0.23163
69,0.17357,0.19707,0.01589,0.23802,0.00000,0.28486
70,0.16372,0.19314,0.01689,0.23244,0.00000,0.28564
71,0.17530,0.19621,0.03978,0.25010,0.00000,0.28049
72,0.19063,0.20365,0.00657,0.35405,0.00000,0.25729
73,0.19369,0.20648,0.02052,0.34393,0.00000,0.26086
74,0.19085,0.20351,0.03335,0.33745,0.00000,0.25601
75,0.19157,0.20443,0.00737,0.34520,0.00000,0.26740
76,0.17380,0.17769,0.05129,0.30924,0.00000,0.28534
77,0.15767,0.16329,0.04716,0.25082,0.00000,0.27991
78,0.17124,0.16861,0.04009,0.28155,0.00000,0.29041
79,0.16270,0.15268,0.04762,0.25984,0.00000,0.28999
80,0.20984,0.18939,0.06356,0.27851,0.00000,0.21863
81,0.18037,0.13882,0.05862,0.23579,0.00000,0.23730
82,0.19253,0.14812,0.06929,0.24873,0.00000,0.24977
83,0.33244,0.26879,0.06838,0.29727,0.00000,0.21713
84,0.33361,0.27408,0.04288,0.30001,0.00000,0.20309
85,0.35668,0.28215,0.05663,0.30612,0.00000,0.18746
86,0.39211,0.30700,0.03890,0.27782,0.00000,0.16425
87,0.40772,0.30503,0.03789,0.29642,0.00000,0.15456
88,0.33635,0.25174,0.06795,0.26244,0.00000,0.20715
89,0.21352,0.16796,0.03260,0.21414,0.00000,0.29111
90,0.21142,0.16951,0.03708,0.23034,0.00000,0.28474
91,0.20920,0.17535,0.04199,0.25229,0.00000,0.27078
92,0.20007,0.17954,0.03597,0.25505,0.00000,0.25586
93,0.19193,0.18181,0.02548,0.27280,0.00000,0.23788
94,0.19337,0.18701,0.01853,0.29854,0.00000,0.22796
95,0.19635,0.19568,0.02035,0.31667,0.00000,0.21577
96,0.19666,0.20285,0.01720,0.31381,0.00000,0.20395
97,0.19387,0.23268,0.05651,0.26316,0.00000,0.14814
98,0.20503,0.25068,0.03490,0.23542,0.00000,0.13480
99,0.22044,0.26235,0.02839,0.24888,0.00000,0.13441
100,0.21558,0.26133,0.01378,0.23742,0.00000,0.12989
101,0.21439,0.26128,0.01422,0.23527,0.00000,0.12467
102,0.21498,0.26220,0.02489,0.23974,0.00000,0.13196
103,0.21701,0.26541,0.02318,0.23184,0.00000,0.13054
104,0.19603,0.25304,0.02514,0.21475,0.00000,0.12810
105,0.18313,0.23871,0.02442,0.22702,0.00000,0.13889
106,0.19227,0.24863,0.02236,0.22815,0.00000,0.13183
107,0.19135,0.24784,0.03299,0.23183,0.00000,0.13319
108,0.29433,0.28040,0.07474,0.23581,0.00000,0.14763
109,0.28365,0.24352,0.07039,0.17637,0.00000,0.15548
110,0.22887,0.21575,0.08054,0.19876,0.00000,0.14996
111,0.18829,0.20023,0.05289,0.22351,0.00000,0.14242
112,0.20429,0.23224,0.06584,0.27952,0.00000,0.13960
113,0.21717,0.25227,0.01393,0.28022,0.00000,0.13737
114,0.21294,0.24820,0.01881,0.28199,0.00000,0.14080
115,0.21786,0.25208,0.01571,0.28134,0.00000,0.14148
116,0.21759,0.25368,0.01922,0.27828,0.00000,0.14089
117,0.21421,0.25093,0.02308,0.28088,0.00000,0.14246
118,0.21126,0.25280,0.02876,0.26653,0.00000,0.13550
119,0.22150,0.27406,0.04198,0.22645,0.00000,0.12773
120,0.27478,0.30082,0.04376,0.24241,0.00000,0.11747
121,0.34906,0.29839,0.10124,0.27295,0.00000,0.10335
122,0.38686,0.28391,0.02383,0.29119,0.00000,0.09826
123,0.35029,0.28131,0.05877,0.28069,0.00000,0.11438
124,0.26035,0.22077,0.11408,0.21240,0.00000,0.15938
125,0.11904,0.10536,0.04855,0.14227,0.00000,0.22612
126,0.19261,0.19353,0.06780,0.26408,0.00000,0.17617
127,0.21478,0.23126,0.05908,0.31405,0.00000,0.16782
128,0.19746,0.20167,0.04506,0.28693,0.00000,0.24682
129,0.19457,0.18510,0.00782,0.26837,0.00000,0.29639
130,0.19537,0.21370,0.04888,0.26160,0.00000,0.24978
131,0.19244,0.27047,0.00220,0.23186,0.00000,0.15586
132,0.19285,0.27114,0.00209,0.23110,0.00000,0.15589
133,0.17816,0.18933,0.04447,0.25536,0.00000,0.26868
134,0.17596,0.17339,0.00304,0.26036,0.00000,0.29195
135,0.29201,0.24477,0.03528,0.31219,0.00000,0.22562
136,0.31389,0.25846,0.00398,0.32351,0.00000,0.21291
137,0.31197,0.25904,0.01226,0.32402,0.00000,0.21192
138,0.29770,0.24743,0.04267,0.30091,0.00000,0.22209
139,0.17811,0.17382,0.00666,0.25558,0.00000,0.29763
140,0.17887,0.17448,0.00459,0.25287,0.00000,0.29906
141,0.17423,0.25335,0.04094,0.20748,0.00000,0.17582
142,0.16894,0.24831,0.00701,0.20482,0.00000,0.17895
143,0.16934,0.23339,0.04252,0.21148,0.00000,0.19346
144,0.17846,0.16677,0.01120,0.25290,0.00000,0.25459
145,0.17554,0.16622,0.00350,0.25374,0.00000,0.25241
146,0.17380,0.16524,0.00819,0.25422,0.00000,0.25210
147,0.28821,0.20514,0.03386,0.25629,0.00000,0.30095
148,0.24668,0.19394,0.02959,0.26692,0.00000,0.28446
149,0.20173,0.18199,0.02494,0.28115,0.00000,0.28635
150,0.17910,0.20221,0.04186,0.24798,0.00000,0.24155
151,0.13671,0.24394,0.00983,0.17411,0.00000,0.15437
152,0.16150,0.20847,0.04108,0.19264,0.00000,0.24639
153,0.15951,0.16073,0.03174,0.19702,0.00000,0.27112
154,0.15265,0.15012,0.04187,0.18684,0.00000,0.21295
155,0.18308,0.17498,0.00625,0.17155,0.00000,0.11790
156,0.19555,0.18292,0.03497,0.20491,0.00000,0.11649
157,0.27894,0.24974,0.00059,0.40978,0.00000,0.10437
158,0.27879,0.24984,0.00044,0.40971,0.00000,0.10418
159,0.27831,0.24999,0.00057,0.40939,0.00000,0.10418
160,0.15563,0.19940,0.05963,0.24241,0.00000,0.18827
161,0.20603,0.19917,0.04530,0.26337,0.00000,0.16232
162,0.25233,0.20614,0.02592,0.28187,0.00000,0.17340
163,0.13278,0.17984,0.07988,0.22675,0.00000,0.11940
164,0.08904,0.14159,0.04778,0.16519,0.00000,0.11911
165,0.11902,0.16206,0.06505,0.17827,0.00000,0.12071
166,0.21686,0.19972,0.01319,0.20073,0.00000,0.11284
167,0.19370,0.19363,0.01303,0.19223,0.00000,0.12274
168,0.19667,0.19253,0.00480,0.18932,0.00000,0.11811
169,0.31421,0.28787,0.04422,0.29029,0.00000,0.22819
170,0.26385,0.25370,0.03755,0.28931,0.00000,0.23249
171,0.16220,0.18476,0.00781,0.28088,0.00000,0.24595
172,0.17070,0.18753,0.01080,0.30199,0.00000,0.25086
173,0.17591,0.19020,0.00738,0.32090,0.00000,0.25390
174,0.17606,0.19208,0.00688,0.33015,0.00000,0.25040
175,0.30387,0.28879,0.03691,0.30768,0.00000,0.22532
176,0.29180,0.28652,0.01095,0.29948,0.00000,0.22882
177,0.13385,0.15177,0.07505,0.16255,0.00000,0.15299
178,0.26677,0.24170,0.16971,0.24388,0.00000,0.20266
179,0.30539,0.26266,0.05691,0.29295,0.00000,0.22109
180,0.32744,0.24290,0.01151,0.32787,0.00000,0.21439
181,0.33886,0.25104,0.03796,0.34808,0.00000,0.19655
182,0.32572,0.23708,0.03348,0.32285,0.00000,0.20076
183,0.33374,0.23353,0.01915,0.31967,0.00000,0.22366
184,0.33076,0.23518,0.02245,0.31440,0.00000,0.22228
185,0.17131,0.12260,0.06114,0.15851,1.00000,0.23297
186,0.01628,0.02542,0.00172,0.01594,0.00000,0.24560
187,0.02051,0.03477,0.00358,0.02972,0.00000,0.24219
188,0.02531,0.04252,0.00567,0.04778,0.00000,0.24357
189,0.03098,0.05393,0.00776,0.07294,0.00000,0.24248
190,0.03777,0.06179,0.01023,0.09248,0.00000,0.24299
191,0.04504,0.06933,0.01188,0.11453,0.00000,0.24881
192,0.05015,0.07252,0.01298,0.12857,0.00000,0.25382
193,0.05642,0.07860,0.01308,0.14849,0.00000,0.25002
194,0.06115,0.08428,0.00873,0.15865,0.00000,0.24357
195,0.06648,0.09057,0.01325,0.16729,0.00000,0.24816
196,0.07060,0.09391,0.01445,0.17573,0.00000,0.25313
197,0.07327,0.09554,0.01226,0.18295,0.00000,0.25960
198,0.07434,0.09495,0.01011,0.18190,0.00000,0.26302
199,0.04522,0.05929,0.01491,0.10346,0.00000,0.41370
200,0.03412,0.05098,0.00877,0.08337,0.00000,0.49858
201,0.06259,0.08482,0.02318,0.13560,0.00000,0.38110
202,0.07530,0.09742,0.01253,0.15512,0.00000,0.34559
203,0.08648,0.11192,0.02108,0.17143,0.00000,0.32956
