sec,luminance,rms_contrast,motion,edges,cuts,saturation
0,0.05882,0.00000,0.00000,0.00000,0.00000,0.31373
1,0.06074,0.01468,0.00096,0.01269,0.00000,0.31223
2,0.06458,0.04404,0.00000,0.03808,0.00000,0.30935
3,0.06458,0.04403,0.00000,0.03807,0.00000,0.30936
4,0.05978,0.00734,0.00096,0.00634,0.00000,0.31300
5,0.06286,0.03025,0.00101,0.02752,0.00000,0.31026
6,0.06488,0.04537,0.00000,0.04128,0.00000,0.30852
7,0.06488,0.04536,0.00000,0.04127,0.00000,0.30852
8,0.05882,0.00000,0.00101,0.00000,0.00000,0.31373
9,0.29553,0.17460,0.05534,0.27494,1.00000,0.19506
10,0.41298,0.21505,0.03521,0.33752,0.00000,0.19623
11,0.61576,0.26796,0.05515,0.34907,0.00000,0.18797
12,0.79200,0.25096,0.04666,0.25982,0.00000,0.11892
13,0.70207,0.22879,0.11184,0.22270,1.00000,0.19587
14,0.54293,0.24982,0.03674,0.24576,0.00000,0.29492
15,0.60997,0.28040,0.04616,0.24664,0.00000,0.25287
16,0.74660,0.26230,0.04620,0.20884,0.00000,0.18591
17,0.85761,0.18967,0.03541,0.16554,0.00000,0.13632
18,0.69305,0.19106,0.09063,0.17600,1.00000,0.13357
19,0.49021,0.24491,0.00600,0.23104,0.00000,0.14776
20,0.49465,0.24340,0.00462,0.23358,0.00000,0.14794
21,0.50331,0.24331,0.00643,0.23541,0.00000,0.14902
22,0.51318,0.24373,0.00806,0.22477,0.00000,0.15200
23,0.52765,0.24123,0.00871,0.21895,0.00000,0.15152
24,0.54601,0.23609,0.00983,0.22208,0.00000,0.14847
25,0.45170,0.18029,0.05419,0.54459,1.00000,0.27517
26,0.45024,0.17973,0.00886,0.54105,0.00000,0.27311
27,0.45375,0.17923,0.01124,0.54100,0.00000,0.27431
28,0.45576,0.18030,0.01173,0.54170,0.00000,0.27297
29,0.45624,0.18108,0.01397,0.54364,0.00000,0.27325
30,0.45277,0.18235,0.01300,0.54081,0.00000,0.27339
31,0.45662,0.18238,0.01850,0.55531,0.00000,0.27455
32,0.46297,0.18164,0.01654,0.56261,0.00000,0.27451
33,0.46191,0.18389,0.02329,0.57544,0.00000,0.27063
